Time,Station,Load,EV_count
160,10,19,1
161,1,13,1
161,2,28,1
161,3,51,2
161,4,97,3
161,5,112,3
161,6,223,5
161,7,0,0
161,8,72,3
161,9,0,0
161,10,64,2
162,1,13,1
162,2,28,1
162,3,39,1
162,4,97,3
162,5,112,3
162,6,223,5
162,7,0,0
162,8,72,3
162,9,0,0
162,10,64,2
163,1,13,1
163,2,0,0
163,3,39,1
163,4,97,3
163,5,112,3
163,6,248,6
163,7,0,0
163,8,72,3
163,9,0,0
163,10,64,2
164,1,13,1
164,2,0,0
164,3,39,1
164,4,97,3
164,5,112,3
164,6,248,6
164,7,0,0
164,8,72,3
164,9,0,0
164,10,64,2
165,1,13,1
165,2,0,0
165,3,39,1
165,4,97,3
165,5,112,3
165,6,199,5
165,7,0,0
165,8,72,3
165,9,0,0
165,10,64,2
166,1,13,1
166,2,0,0
166,3,39,1
166,4,97,3
166,5,112,3
166,6,161,4
166,7,0,0
166,8,72,3
166,9,0,0
166,10,64,2
167,1,13,1
167,2,0,0
167,3,39,1
167,4,97,3
167,5,112,3
167,6,117,3
167,7,0,0
167,8,72,3
167,9,0,0
167,10,64,2
168,1,13,1
168,2,0,0
168,3,39,1
168,4,97,3
168,5,112,3
168,6,117,3
168,7,0,0
168,8,72,3
168,9,0,0
168,10,74,3
169,1,13,1
169,2,0,0
169,3,39,1
169,4,97,3
169,5,112,3
169,6,117,3
169,7,0,0
169,8,72,3
169,9,0,0
169,10,109,4
170,1,13,1
170,2,0,0
170,3,39,1
170,4,97,3
170,5,112,3
170,6,69,2
170,7,0,0
170,8,72,3
170,9,0,0
170,10,109,4
171,1,13,1
171,2,0,0
171,3,39,1
171,4,97,3
171,5,126,4
171,6,25,1
171,7,0,0
171,8,72,3
171,9,0,0
171,10,109,4
172,1,39,2
172,2,0,0
172,3,39,1
172,4,97,3
172,5,126,4
172,6,25,1
172,7,0,0
172,8,72,3
172,9,0,0
172,10,109,4
173,1,39,2
173,2,18,1
173,3,39,1
173,4,97,3
173,5,126,4
173,6,25,1
173,7,0,0
173,8,72,3
173,9,0,0
